Region,State,Year,Acres
Southern,South Carolina,2004,180
Southern,Tennessee,2004,46.4
Southern,Texas,2004,5.9
Southern,Virginia,2004,3125.3
Southern,West Virginia,2004,0
Southwestern,Arizona,2004,138550.4
Southwestern,New Mexico,2004,293208.3
Alaska,Alaska,2005,133035.1
Intermountain,California,2005,4265.2
Intermountain,Colorado,2005,98.5
Intermountain,Idaho,2005,373604.9
Intermountain,Nevada,2005,74663.5
Intermountain,Utah,2005,335367.9
Intermountain,Wyoming,2005,258610.4
Northeastern Area,Connecticut,2005,42.8
Northeastern Area,Delaware,2005,0
Northeastern Area,Illinois,2005,0
Northeastern Area,Indiana,2005,18.4
Northeastern Area,Iowa,2005,0
Northeastern Area,Maine,2005,9048.5
Northeastern Area,Maryland,2005,98.2
Northeastern Area,Massachusetts,2005,160403
Northeastern Area,Michigan,2005,451625.2
Northeastern Area,Minnesota,2005,19143.7
Northeastern Area,Missouri,2005,13988.5
Northeastern Area,New Hampshire,2005,53715.9
Northeastern Area,New Jersey,2005,1978.2
Northeastern Area,New York,2005,116982.5
Northeastern Area,Ohio,2005,3815
Northeastern Area,Pennsylvania,2005,16433.7
Northeastern Area,Rhode Island,2005,0
Northeastern Area,Vermont,2005,35105.6
Northeastern Area,West Virginia,2005,48
Northeastern Area,Wisconsin,2005,1770.6
Northern,Idaho,2005,337469.4
Northern,Montana,2005,1124094
Northern,North Dakota,2005,0
Northern,South Dakota,2005,199.8
Northern,Washington,2005,0
Northern,Wyoming,2005,33417.1
Pacific Northwest,California,2005,1837.3
Pacific Northwest,Oregon,2005,515584.7
Pacific Northwest,Washington,2005,1089207.5
Pacific Southwest,California,2005,947392.5
Pacific Southwest,Hawaii,2005,0
Pacific Southwest,Nevada,2005,1.1
Pacific Southwest,Oregon,2005,325.4
Rocky Mountain,Colorado,2005,1190436
Rocky Mountain,Kansas,2005,0
Rocky Mountain,Nebraska,2005,1671.7
Rocky Mountain,South Dakota,2005,25186.5
Rocky Mountain,Wyoming,2005,453488.5
Southern,Alabama,2005,588.1
Southern,Arkansas,2005,0
Southern,Florida,2005,0
Southern,Georgia,2005,265
Southern,Kentucky,2005,1523.5
Southern,Louisiana,2005,159899
Southern,Mississippi,2005,21149.9
Southern,North Carolina,2005,7215.7
Southern,Oklahoma,2005,0
Southern,South Carolina,2005,118.1
Southern,Tennessee,2005,265.5
Southern,Texas,2005,13012
Southern,Virginia,2005,672
Southern,West Virginia,2005,0
Southwestern,Arizona,2005,38787.4
Southwestern,New Mexico,2005,168159.8
Alaska,Alaska,2006,167450.8
Intermountain,California,2006,3897.4
Intermountain,Colorado,2006,9.7
Intermountain,Idaho,2006,256239.2
Intermountain,Nevada,2006,28529
Intermountain,Utah,2006,122677.9
Intermountain,Wyoming,2006,192767
Northeastern Area,Connecticut,2006,135.9
Northeastern Area,Delaware,2006,0
Northeastern Area,Illinois,2006,0
Northeastern Area,Indiana,2006,0
Northeastern Area,Iowa,2006,0
Northeastern Area,Maine,2006,7120275.3
Northeastern Area,Maryland,2006,0
Northeastern Area,Massachusetts,2006,133.9
Northeastern Area,Michigan,2006,72380.9
Northeastern Area,Minnesota,2006,22507.9
Northeastern Area,Missouri,2006,23882.2
Northeastern Area,New Hampshire,2006,18925.5
Northeastern Area,New Jersey,2006,0
Northeastern Area,New York,2006,11888.2
Northeastern Area,Ohio,2006,19504.8
Northeastern Area,Pennsylvania,2006,0
Northeastern Area,Rhode Island,2006,12.6
Northeastern Area,Vermont,2006,9460
Northeastern Area,West Virginia,2006,75.3
Northeastern Area,Wisconsin,2006,718
Northern,Idaho,2006,115383.5
Northern,Montana,2006,922674.6
Northern,North Dakota,2006,23.1
Northern,South Dakota,2006,147.7
Northern,Washington,2006,0
Northern,Wyoming,2006,5891.5
Pacific Northwest,California,2006,446.4
Pacific Northwest,Oregon,2006,566350.5
Pacific Northwest,Washington,2006,656799.1
Pacific Southwest,California,2006,398408.3
Pacific Southwest,Hawaii,2006,0
Pacific Southwest,Nevada,2006,9
Pacific Southwest,Oregon,2006,21.7
Rocky Mountain,Colorado,2006,1148312.4
Rocky Mountain,Kansas,2006,0
Rocky Mountain,Nebraska,2006,3982.1
Rocky Mountain,South Dakota,2006,44147.7
Rocky Mountain,Wyoming,2006,296352.9
Southern,Alabama,2006,0
Southern,Arkansas,2006,0
Southern,Florida,2006,280.5
Southern,Georgia,2006,362.3
Southern,Kentucky,2006,0
Southern,Louisiana,2006,102.4
Southern,Mississippi,2006,13.7
Southern,North Carolina,2006,5239
Southern,Oklahoma,2006,0
Southern,South Carolina,2006,42.1
Southern,Tennessee,2006,46.2
Southern,Texas,2006,1019.4
Southern,Virginia,2006,834.5
Southern,West Virginia,2006,0
Southwestern,Arizona,2006,30416.2
Southwestern,New Mexico,2006,180012.8
Alaska,Alaska,2007,221434.9
Intermountain,California,2007,490.4
Intermountain,Colorado,2007,4.8
Intermountain,Idaho,2007,343893
Intermountain,Nevada,2007,14396.6
Intermountain,Utah,2007,435109.5
Intermountain,Wyoming,2007,485685.7
Northeastern Area,Connecticut,2007,0
Northeastern Area,Delaware,2007,63.8
Northeastern Area,Illinois,2007,0
Northeastern Area,Indiana,2007,13763.3
Northeastern Area,Iowa,2007,0
Northeastern Area,Maine,2007,3675
Northeastern Area,Maryland,2007,0
Northeastern Area,Massachusetts,2007,11697.4
Northeastern Area,Michigan,2007,70183.4
Northeastern Area,Minnesota,2007,19682.3
Northeastern Area,Missouri,2007,65269.7
Northeastern Area,New Hampshire,2007,15265.3
Northeastern Area,New Jersey,2007,2410.8
Northeastern Area,New York,2007,149821.9
Northeastern Area,Ohio,2007,2705.5
Northeastern Area,Pennsylvania,2007,0
Northeastern Area,Rhode Island,2007,852.8
Northeastern Area,Vermont,2007,46610.8
Northeastern Area,West Virginia,2007,0
Northeastern Area,Wisconsin,2007,2498.7
Northern,Idaho,2007,110535.2
Northern,Montana,2007,837502.1
Northern,North Dakota,2007,0
Northern,South Dakota,2007,85.7
Northern,Washington,2007,0
Northern,Wyoming,2007,53875.6
Pacific Northwest,California,2007,489.9
Pacific Northwest,Oregon,2007,678005.4
Pacific Northwest,Washington,2007,741798.6
Pacific Southwest,California,2007,298801.7
Pacific Southwest,Hawaii,2007,0
Pacific Southwest,Nevada,2007,48
Pacific Southwest,Oregon,2007,145.4
Rocky Mountain,Colorado,2007,1476090.4
Rocky Mountain,Kansas,2007,0
Rocky Mountain,Nebraska,2007,5548.6
Rocky Mountain,South Dakota,2007,28914.2
Rocky Mountain,Wyoming,2007,531320.8
Southern,Alabama,2007,521
Southern,Arkansas,2007,0
Southern,Florida,2007,0
Southern,Georgia,2007,7443.8
Southern,Kentucky,2007,0
Southern,Louisiana,2007,49.5
Southern,Mississippi,2007,69.4
Southern,North Carolina,2007,19980
Southern,Oklahoma,2007,0
Southern,South Carolina,2007,926
Southern,Tennessee,2007,913.1
Southern,Texas,2007,0
Southern,Virginia,2007,1529.6
Southern,West Virginia,2007,0
Southwestern,Arizona,2007,21571.6
Southwestern,New Mexico,2007,133802.2
Alaska,Alaska,2008,144357.7
Intermountain,California,2008,5145.4
Intermountain,Colorado,2008,10.8
Intermountain,Idaho,2008,470587.1
Intermountain,Nevada,2008,31816.4
Intermountain,Utah,2008,358332
Intermountain,Wyoming,2008,442111.6
Northeastern Area,Connecticut,2008,12.9
Northeastern Area,Delaware,2008,0
Northeastern Area,Illinois,2008,0
Northeastern Area,Indiana,2008,8378.8
Northeastern Area,Iowa,2008,6521.8
Northeastern Area,Maine,2008,7.2
Northeastern Area,Maryland,2008,5895.5
Northeastern Area,Massachusetts,2008,41608.6
Northeastern Area,Michigan,2008,148330
Northeastern Area,Minnesota,2008,28517.7
Northeastern Area,Missouri,2008,187140
Northeastern Area,New Hampshire,2008,15345.3
Northeastern Area,New Jersey,2008,50828.1
Northeastern Area,New York,2008,127669.6
Northeastern Area,Ohio,2008,2765.5
Northeastern Area,Pennsylvania,2008,38360.7
Northeastern Area,Rhode Island,2008,0
Northeastern Area,Vermont,2008,4089.4
Northeastern Area,West Virginia,2008,331.9
Northeastern Area,Wisconsin,2008,944330
Northern,Idaho,2008,837615.3
Northern,Montana,2008,1831671.7
Northern,North Dakota,2008,0
Northern,South Dakota,2008,247.5
Northern,Washington,2008,0
Northern,Wyoming,2008,35527.7
Pacific Northwest,California,2008,72.9
Pacific Northwest,Oregon,2008,683128.5
Pacific Northwest,Washington,2008,811182.3
Pacific Southwest,California,2008,206561.8
Pacific Southwest,Hawaii,2008,0
Pacific Southwest,Nevada,2008,141.1
Pacific Southwest,Oregon,2008,223.9
Rocky Mountain,Colorado,2008,2110125.5
Rocky Mountain,Kansas,2008,0
Rocky Mountain,Nebraska,2008,7236.3
Rocky Mountain,South Dakota,2008,26992.9
Rocky Mountain,Wyoming,2008,740645
Southern,Alabama,2008,26
Southern,Arkansas,2008,0
Southern,Florida,2008,211.3
Southern,Georgia,2008,63
Southern,Kentucky,2008,0
Southern,Louisiana,2008,7.8
Southern,Mississippi,2008,1.8
Southern,North Carolina,2008,585.5
Southern,Oklahoma,2008,204.2
Southern,South Carolina,2008,0.5
Southern,Tennessee,2008,0.1
Southern,Texas,2008,0
Southern,Virginia,2008,185.3
Southern,West Virginia,2008,0
Southwestern,Arizona,2008,19345.8
Southwestern,New Mexico,2008,120046.1
Alaska,Alaska,2009,154904
Intermountain,California,2009,5721
Intermountain,Colorado,2009,2.8
Intermountain,Idaho,2009,1200038.3
Intermountain,Nevada,2009,128634.6
Intermountain,Utah,2009,271024.8
Intermountain,Wyoming,2009,559952.4
Northeastern Area,Connecticut,2009,645.6
Northeastern Area,Delaware,2009,43.7
Northeastern Area,Illinois,2009,0
Northeastern Area,Indiana,2009,5439.9
Northeastern Area,Iowa,2009,1098.2
Northeastern Area,Maine,2009,237.7
Northeastern Area,Maryland,2009,4521.6
Northeastern Area,Massachusetts,2009,18081.9
Northeastern Area,Michigan,2009,30223.3
Northeastern Area,Minnesota,2009,32068.1
Northeastern Area,Missouri,2009,0
Northeastern Area,New Hampshire,2009,1280.4
